Grock,Yrock,Lingcod,Dsole,Dsole_fem_scale
0.000,0.000,0.003393411,4.54E-05,6.49E-01
0.000,0.000,0.004919831,4.54E-05,
0.000,0.000,0.007043938,4.55E-05,
0.000,0.000,0.009959382,4.56E-05,
0.000,0.000,0.013905955,4.59E-05,
0.000,0.000,0.019174356,4.68E-05,
0.000,0.000,0.026109123,4.90E-05,
0.000,0.000,0.035108748,5.43E-05,
0.000,0.000,0.046621895,6.66E-05,
0.000,0.000,0.061138678,9.44E-05,
0.000,0.000,0.079176026,0.000154853,
0.000,0.000,0.101256494,0.000281694,
0.000,0.000,0.127880288,0.000538508,
0.000,0.000,0.159490883,0.001040116,
0.000,0.000,0.196435352,0.001985064,
0.000,0.000,0.238921356,0.003701553,
0.000,0.000,0.286973519,0.006707219,
0.000,0.000,0.340392678,0.011779023,
0.000,0.000,0.398721935,0.020022957,
0.000,0.000,0.461223662,0.032924776,
0.000,0.000,0.526871326,0.052354315,
0.000,0.000,0.594359324,0.080490358,
0.000,0.000,0.662132842,0.119634862,
0.000,0.000,0.728438198,0.171898738,
0.001,0.001,0.791392309,0.238768259,
0.001,0.001,0.849067998,0.320599263,
0.002,0.002,0.899590067,0.416127468,
0.004,0.004,0.94123564,0.522114463,
0.006,0.006,0.972531346,0.633255587,
0.009,0.009,0.992339749,0.742446838,
0.014,0.014,0.999929967,0.841441887,
0.022,0.022,0.999998854,0.921838758,
0.032,0.032,0.997241559,0.976242629,
0.047,0.047,0.987661058,0.999406952,
0.067,0.067,0.971416309,0.999998481,
0.094,0.094,0.948839481,0.999999641,
0.128,0.128,0.920385994,0.999998539,
0.171,0.171,0.88661924,0.999920079,
0.224,0.224,0.848192052,0.964528296,
0.286,0.286,0.805825753,0.851508878,
0.358,0.358,0.760287733,0.719051664,
0.438,0.438,0.712368523,0.617124949,
0.524,0.524,0.662859303,0.559736734,
0.613,0.613,0.612530737,0.535143703,
0.702,0.702,0.562113887,0.526969775,
0.787,0.787,0.51228382,0.524840617,
0.862,0.862,0.463646367,0.524403191,
0.925,0.925,0.416728286,0.524332018,
0.970,0.970,0.371970925,0.52432282,
0.995,0.995,0.3297273,0.524321873,
1.000,1.000,0.290262356,0.524321796,
1.000,1.000,0.253756059,0.52432179,
1.000,1.000,0.220308891,0.52432179,
1.000,1.000,0.189949224,0.52432179,
1.000,1.000,0.16264208,0.52432179,
1.000,1.000,0.138298737,0.52432179,
1.000,1.000,0.116786705,0.52432179,
1.000,1.000,0.097939637,0.524321789,
1.000,1.000,0.08156681,0.524321789,
1.000,1.000,0.067461868,0.524321789,
1.000,1.000,0.055410637,0.524321789,
1.000,1.000,0.045197854,0.524321789,
1.000,1.000,0.036612754,0.524321789,
1.000,1.000,0.029453497,0.524321789,
1.000,1.000,0.023530505,0.524321789,
1.000,1.000,0.018668762,0.524321789,
1.000,1.000,0.014709221,0.524321789,
1.000,1.000,0.011509429,0.524321789,
1.000,1.000,0.008943505,0.524321789,
1.000,1.000,0.006901629,0.524321789,
1.000,1.000,0.005289144,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,
1.000,1.000,,0.524321789,